"Label (Grouping)","Total:!!In labor force:!!Civilian labor force:","Total:!!In labor force:!!Civilian labor force:!!Employed","Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"Alabaster city, Alabama","","",""
"    Estimate","17,784","16,816","968"
"Albertville city, Alabama","","",""
"    Estimate","10,819","10,702","117"
"Anniston city, Alabama","","",""
"    Estimate","8,693","8,299","394"
"Athens city, Alabama","","",""
"    Estimate","11,384","11,215","169"
"Auburn city, Alabama","","",""
"    Estimate","33,848","32,623","1,225"
"Bessemer city, Alabama","","",""
"    Estimate","11,353","10,395","958"
"Birmingham city, Alabama","","",""
"    Estimate","102,920","95,404","7,516"
"Center Point city, Alabama","","",""
"    Estimate","9,259","8,458","801"
"Daphne city, Alabama","","",""
"    Estimate","13,243","12,740","503"
"Decatur city, Alabama","","",""
"    Estimate","27,360","25,811","1,549"
"Dothan city, Alabama","","",""
"    Estimate","29,809","27,763","2,046"
"Enterprise city, Alabama","","",""
"    Estimate","11,494","10,797","697"
"Fairhope city, Alabama","","",""
"    Estimate","9,245","8,873","372"
"Florence city, Alabama","","",""
"    Estimate","18,610","17,658","952"
"Gadsden city, Alabama","","",""
"    Estimate","15,766","14,085","1,681"
"Helena city, Alabama","","",""
"    Estimate","10,740","10,547","193"
"Homewood city, Alabama","","",""
"    Estimate","13,690","13,535","155"
"Hoover city, Alabama","","",""
"    Estimate","44,449","42,808","1,641"
"Huntsville city, Alabama","","",""
"    Estimate","104,439","100,282","4,157"
"Madison city, Alabama","","",""
"    Estimate","26,987","26,503","484"
"Mobile city, Alabama","","",""
"    Estimate","89,551","84,652","4,899"
"Montgomery city, Alabama","","",""
"    Estimate","96,199","90,902","5,297"
"Mountain Brook city, Alabama","","",""
"    Estimate","8,826","8,826","0"
"Northport city, Alabama","","",""
"    Estimate","14,655","13,833","822"
"Opelika city, Alabama","","",""
"    Estimate","17,707","17,160","547"
"Oxford city, Alabama","","",""
"    Estimate","10,355","9,999","356"
"Pelham city, Alabama","","",""
"    Estimate","14,548","14,226","322"
"Phenix City city, Alabama","","",""
"    Estimate","18,074","17,287","787"
"Prattville city, Alabama","","",""
"    Estimate","17,521","16,897","624"
"Prichard city, Alabama","","",""
"    Estimate","8,118","7,086","1,032"
"Trussville city, Alabama","","",""
"    Estimate","13,892","13,539","353"
"Tuscaloosa city, Alabama","","",""
"    Estimate","49,002","46,477","2,525"
"Vestavia Hills city, Alabama","","",""
"    Estimate","17,026","16,629","397"
"Anchorage municipality, Alaska","","",""
"    Estimate","151,224","143,024","8,200"
"Fairbanks city, Alaska","","",""
"    Estimate","11,269","10,747","522"
"Juneau city and borough, Alaska","","",""
"    Estimate","15,607","15,138","469"
"Anthem CDP, Arizona","","",""
