"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"Alabaster city, Alabama",""
"    Estimate","37,408"
"Albertville city, Alabama",""
"    Estimate","25,837"
"Anniston city, Alabama",""
"    Estimate","29,635"
"Athens city, Alabama",""
"    Estimate","38,209"
"Auburn city, Alabama",""
"    Estimate","24,009"
"Bessemer city, Alabama",""
"    Estimate","20,929"
"Birmingham city, Alabama",""
"    Estimate","30,014"
"Center Point city, Alabama",""
"    Estimate","18,019"
"Daphne city, Alabama",""
"    Estimate","37,615"
"Decatur city, Alabama",""
"    Estimate","32,065"
"Dothan city, Alabama",""
"    Estimate","32,123"
"Enterprise city, Alabama",""
"    Estimate","39,239"
"Fairhope city, Alabama",""
"    Estimate","29,727"
"Florence city, Alabama",""
"    Estimate","22,546"
"Gadsden city, Alabama",""
"    Estimate","23,692"
"Helena city, Alabama",""
"    Estimate","46,427"
"Homewood city, Alabama",""
"    Estimate","45,594"
"Hoover city, Alabama",""
"    Estimate","51,175"
"Huntsville city, Alabama",""
"    Estimate","31,733"
"Madison city, Alabama",""
"    Estimate","51,219"
"Mobile city, Alabama",""
"    Estimate","30,569"
"Montgomery city, Alabama",""
"    Estimate","30,693"
"Mountain Brook city, Alabama",""
"    Estimate","75,876"
"Northport city, Alabama",""
"    Estimate","42,734"
"Opelika city, Alabama",""
"    Estimate","26,873"
"Oxford city, Alabama",""
"    Estimate","31,212"
"Pelham city, Alabama",""
"    Estimate","50,577"
"Phenix City city, Alabama",""
"    Estimate","31,290"
"Prattville city, Alabama",""
"    Estimate","37,062"
"Prichard city, Alabama",""
"    Estimate","22,857"
"Trussville city, Alabama",""
"    Estimate","46,630"
"Tuscaloosa city, Alabama",""
"    Estimate","22,408"
"Vestavia Hills city, Alabama",""
"    Estimate","60,130"
"Anchorage municipality, Alaska",""
"    Estimate","41,868"
"Fairbanks city, Alaska",""
"    Estimate","31,646"
"Juneau city and borough, Alaska",""
"    Estimate","42,029"
"Anthem CDP, Arizona",""
"    Estimate","46,534"
"Apache Junction city, Arizona",""
"    Estimate","41,511"
"Avondale city, Arizona",""
"    Estimate","31,820"
"Buckeye city, Arizona",""
"    Estimate","37,488"
"Bullhead City city, Arizona",""
"    Estimate","25,429"
"Casa Grande city, Arizona",""
"    Estimate","28,657"
"Casas Adobes CDP, Arizona",""
"    Estimate","37,056"
"Catalina Foothills CDP, Arizona",""
"    Estimate","54,548"
"Chandler city, Arizona",""
"    Estimate","46,635"
"Drexel Heights CDP, Arizona",""
"    Estimate","35,015"
"El Mirage city, Arizona",""
"    Estimate","31,288"
"Flagstaff city, Arizona",""
"    Estimate","22,520"
"Florence town, Arizona",""
"    Estimate","27,109"
"Fortuna Foothills CDP, Arizona",""
"    Estimate","31,366"
"Fountain Hills town, Arizona",""
"    Estimate","49,849"
"Gilbert town, Arizona",""
"    Estimate","47,767"
"Glendale city, Arizona",""
"    Estimate","31,388"
"Goodyear city, Arizona",""
"    Estimate","35,910"
"Green Valley CDP, Arizona",""
"    Estimate","26,345"
"Kingman city, Arizona",""
"    Estimate","32,223"
"Lake Havasu City city, Arizona",""
"    Estimate","31,099"
"Marana town, Arizona",""
"    Estimate","41,004"
"Maricopa city, Arizona",""
"    Estimate","37,321"
"Mesa city, Arizona",""
"    Estimate","36,190"
"Oro Valley town, Arizona",""
"    Estimate","42,493"
"Peoria city, Arizona",""
"    Estimate","42,113"
"Phoenix city, Arizona",""
"    Estimate","34,758"
"Prescott city, Arizona",""
"    Estimate","30,729"
"Prescott Valley town, Arizona",""
"    Estimate","24,524"
"Queen Creek town, Arizona",""
"    Estimate","47,505"
"Rio Rico CDP, Arizona",""
"    Estimate","31,551"
"Sahuarita town, Arizona",""
"    Estimate","30,963"
"San Luis city, Arizona",""
"    Estimate","21,556"
"San Tan Valley CDP, Arizona",""
"    Estimate","38,994"
"Scottsdale city, Arizona",""
"    Estimate","52,772"
"Sierra Vista city, Arizona",""
"    Estimate","33,709"
"Sun City CDP, Arizona",""
"    Estimate","25,604"
"Sun City West CDP, Arizona",""
"    Estimate","34,728"
"Surprise city, Arizona",""
"    Estimate","39,268"
"Tempe city, Arizona",""
"    Estimate","32,023"
"Tucson city, Arizona",""
"    Estimate","26,562"
"Yuma city, Arizona",""
"    Estimate","29,975"
"Bella Vista city, Arkansas",""
"    Estimate","42,209"
"Benton city, Arkansas",""
"    Estimate","35,075"
"Bentonville city, Arkansas",""
"    Estimate","42,079"
"Cabot city, Arkansas",""
"    Estimate","39,455"
"Conway city, Arkansas",""
"    Estimate","27,983"
"Fayetteville city, Arkansas",""
"    Estimate","25,986"
"Fort Smith city, Arkansas",""
"    Estimate","26,685"
"Hot Springs city, Arkansas",""
"    Estimate","25,801"
"Jacksonville city, Arkansas",""
"    Estimate","31,688"
"Jonesboro city, Arkansas",""
"    Estimate","25,515"
"Little Rock city, Arkansas",""
"    Estimate","34,627"
"North Little Rock city, Arkansas",""
"    Estimate","30,789"
"Paragould city, Arkansas",""
"    Estimate","27,946"
"Pine Bluff city, Arkansas",""
"    Estimate","25,307"
"Rogers city, Arkansas",""
"    Estimate","36,914"
"Russellville city, Arkansas",""
"    Estimate","25,424"
"Searcy city, Arkansas",""
"    Estimate","22,795"
"Sherwood city, Arkansas",""
"    Estimate","40,407"
"Siloam Springs city, Arkansas",""
"    Estimate","25,855"
"Springdale city, Arkansas",""
"    Estimate","26,014"
"Texarkana city, Arkansas",""
"    Estimate","32,046"
"Van Buren city, Arkansas",""
"    Estimate","30,031"
"West Memphis city, Arkansas",""
"    Estimate","26,651"
"Adelanto city, California",""
"    Estimate","25,213"
"Alameda city, California",""
"    Estimate","61,672"
"Albany city, California",""
"    Estimate","60,315"
"Alhambra city, California",""
"    Estimate","39,430"
"Aliso Viejo city, California",""
"    Estimate","57,582"
"Altadena CDP, California",""
"    Estimate","60,852"
"American Canyon city, California",""
"    Estimate","36,477"
"Anaheim city, California",""
"    Estimate","35,043"
"Antelope CDP, California",""
"    Estimate","42,878"
"Antioch city, California",""
"    Estimate","37,714"
"Apple Valley town, California",""
"    Estimate","30,568"
"Arcadia city, California",""
"    Estimate","50,527"
"Arden-Arcade CDP, California",""
"    Estimate","32,259"
"Arvin city, California",""
"    Estimate","22,934"
"Ashland CDP, California",""
"    Estimate","46,515"
"Atascadero city, California",""
"    Estimate","33,649"
"Atwater city, California",""
"    Estimate","33,575"
"Azusa city, California",""
"    Estimate","30,022"
"Bakersfield city, California",""
"    Estimate","33,297"
"Baldwin Park city, California",""
"    Estimate","30,157"
"Banning city, California",""
"    Estimate","26,158"
"Barstow city, California",""
"    Estimate","30,152"
"Bay Point CDP, California",""
"    Estimate","37,819"
"Beaumont city, California",""
"    Estimate","46,405"
"Bell city, California",""
"    Estimate","27,023"
"Bellflower city, California",""
"    Estimate","33,467"
"Bell Gardens city, California",""
"    Estimate","21,586"
"Belmont city, California",""
"    Estimate","92,386"
"Benicia city, California",""
"    Estimate","56,782"
"Berkeley city, California",""
"    Estimate","41,458"
"Beverly Hills city, California",""
"    Estimate","65,955"
"Bloomington CDP, California",""
"    Estimate","28,024"
"Blythe city, California",""
"    Estimate","23,841"
"Brawley city, California",""
"    Estimate","32,238"
"Brea city, California",""
"    Estimate","45,898"
"Brentwood city, California",""
"    Estimate","54,543"
"Buena Park city, California",""
"    Estimate","41,383"
"Burbank city, California",""
"    Estimate","46,498"
"Burlingame city, California",""
"    Estimate","97,152"
"Calabasas city, California",""
"    Estimate","66,029"
"Calexico city, California",""
"    Estimate","23,527"
"Camarillo city, California",""
"    Estimate","46,551"
"Campbell city, California",""
"    Estimate","71,980"
"Carlsbad city, California",""
"    Estimate","56,661"
"Carmichael CDP, California",""
"    Estimate","35,115"
"Carson city, California",""
"    Estimate","39,009"
"Casa de Oro-Mount Helix CDP, California",""
"    Estimate","46,323"
"Castro Valley CDP, California",""
"    Estimate","62,015"
"Cathedral City city, California",""
"    Estimate","29,197"
"Ceres city, California",""
"    Estimate","40,026"
"Cerritos city, California",""
"    Estimate","43,734"
"Chico city, California",""
"    Estimate","25,915"
"Chino city, California",""
"    Estimate","36,221"
"Chino Hills city, California",""
"    Estimate","53,912"
"Chowchilla city, California",""
"    Estimate","15,685"
"Chula Vista city, California",""
"    Estimate","41,008"
"Citrus Heights city, California",""
"    Estimate","34,800"
"Claremont city, California",""
"    Estimate","36,833"
"Clovis city, California",""
"    Estimate","46,113"
"Coachella city, California",""
"    Estimate","26,351"
"Colton city, California",""
"    Estimate","34,072"
"Compton city, California",""
"    Estimate","27,210"
"Concord city, California",""
"    Estimate","45,308"
"Corcoran city, California",""
"    Estimate","27,057"
"Corona city, California",""
"    Estimate","41,511"
"Coronado city, California",""
"    Estimate","40,469"
"Costa Mesa city, California",""
"    Estimate","41,073"
"Covina city, California",""
"    Estimate","36,031"
"Cudahy city, California",""
"    Estimate","24,966"
"Culver City city, California",""
"    Estimate","71,180"
"Cupertino city, California",""
"    Estimate","121,562"
"Cypress city, California",""
"    Estimate","44,930"
"Daly City city, California",""
"    Estimate","42,952"
"Dana Point city, California",""
"    Estimate","45,529"
"Danville town, California",""
"    Estimate","77,139"
"Davis city, California",""
"    Estimate","27,234"
"Delano city, California",""
"    Estimate","20,114"
"Desert Hot Springs city, California",""
