"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"Alabaster city, Alabama","","",""
"    Estimate","12,547","11,940","607"
"Albertville city, Alabama","","",""
"    Estimate","7,917","7,699","218"
"Anniston city, Alabama","","",""
"    Estimate","12,414","10,035","2,379"
"Athens city, Alabama","","",""
"    Estimate","11,648","10,007","1,641"
"Auburn city, Alabama","","",""
"    Estimate","28,630","26,156","2,474"
"Bessemer city, Alabama","","",""
"    Estimate","13,198","10,163","3,035"
"Birmingham city, Alabama","","",""
"    Estimate","113,421","93,300","20,121"
"Center Point city, Alabama","","",""
"    Estimate","8,100","6,779","1,321"
"Daphne city, Alabama","","",""
"    Estimate","10,052","9,050","1,002"
"Decatur city, Alabama","","",""
"    Estimate","24,755","21,969","2,786"
"Dothan city, Alabama","","",""
"    Estimate","32,728","27,103","5,625"
"Enterprise city, Alabama","","",""
"    Estimate","12,276","10,705","1,571"
"Fairhope city, Alabama","","",""
"    Estimate","9,097","7,375","1,722"
"Florence city, Alabama","","",""
"    Estimate","21,341","18,133","3,208"
"Gadsden city, Alabama","","",""
"    Estimate","16,960","14,506","2,454"
"Helena city, Alabama","","",""
"    Estimate","7,381","7,211","170"
"Homewood city, Alabama","","",""
"    Estimate","11,076","8,716","2,360"
"Hoover city, Alabama","","",""
"    Estimate","35,345","32,461","2,884"
"Huntsville city, Alabama","","",""
"    Estimate","95,947","88,930","7,017"
"Madison city, Alabama","","",""
"    Estimate","22,237","21,037","1,200"
"Mobile city, Alabama","","",""
"    Estimate","92,545","77,628","14,917"
"Montgomery city, Alabama","","",""
"    Estimate","93,166","78,225","14,941"
"Mountain Brook city, Alabama","","",""
"    Estimate","7,626","6,930","696"
"Northport city, Alabama","","",""
"    Estimate","11,730","10,588","1,142"
"Opelika city, Alabama","","",""
"    Estimate","14,291","13,690","601"
"Oxford city, Alabama","","",""
"    Estimate","9,425","8,870","555"
"Pelham city, Alabama","","",""
"    Estimate","11,057","10,642","415"
"Phenix City city, Alabama","","",""
"    Estimate","18,981","16,428","2,553"
"Prattville city, Alabama","","",""
"    Estimate","14,750","13,984","766"
"Prichard city, Alabama","","",""
"    Estimate","9,590","6,533","3,057"
"Trussville city, Alabama","","",""
"    Estimate","10,216","9,036","1,180"
"Tuscaloosa city, Alabama","","",""
"    Estimate","50,870","36,779","14,091"
"Vestavia Hills city, Alabama","","",""
"    Estimate","13,855","12,855","1,000"
"Anchorage municipality, Alaska","","",""
"    Estimate","119,272","105,198","14,074"
"Fairbanks city, Alaska","","",""
"    Estimate","14,459","11,684","2,775"
"Juneau city and borough, Alaska","","",""
"    Estimate","13,851","12,937","914"
"Anthem CDP, Arizona","","",""
"    Estimate","9,026","8,199","827"
"Apache Junction city, Arizona","","",""
"    Estimate","24,475","19,877","4,598"
"Avondale city, Arizona","","",""
"    Estimate","27,957","25,339","2,618"
"Buckeye city, Arizona","","",""
"    Estimate","23,952","21,691","2,261"
"Bullhead City city, Arizona","","",""
"    Estimate","21,610","16,684","4,926"
"Casa Grande city, Arizona","","",""
"    Estimate","23,502","19,593","3,909"
"Casas Adobes CDP, Arizona","","",""
"    Estimate","32,645","29,337","3,308"
"Catalina Foothills CDP, Arizona","","",""
"    Estimate","27,857","23,764","4,093"
"Chandler city, Arizona","","",""
"    Estimate","101,859","94,035","7,824"
"Drexel Heights CDP, Arizona","","",""
"    Estimate","10,065","8,919","1,146"
"El Mirage city, Arizona","","",""
"    Estimate","11,730","10,986","744"
"Flagstaff city, Arizona","","",""
"    Estimate","29,713","25,609","4,104"
"Florence town, Arizona","","",""
"    Estimate","6,268","4,352","1,916"
"Fortuna Foothills CDP, Arizona","","",""
"    Estimate","22,498","13,398","9,100"
"Fountain Hills town, Arizona","","",""
"    Estimate","14,755","12,405","2,350"
"Gilbert town, Arizona","","",""
"    Estimate","84,390","81,235","3,155"
"Glendale city, Arizona","","",""
