"Label (Grouping)","Total:","Total:!!Under 18 years","Total:!!18 to 24 years","Total:!!25 to 34 years","Total:!!35 to 44 years","Total:!!45 to 54 years","Total:!!55 to 64 years","Total:!!65 years and over"
"Alabaster city, Alabama","","","","","","","",""
"    Estimate","33,484","8,752","2,823","3,598","5,226","4,641","4,103","4,341"
"Albertville city, Alabama","","","","","","","",""
"    Estimate","24,303","7,034","2,415","3,789","2,257","3,892","1,521","3,395"
"Anniston city, Alabama","","","","","","","",""
"    Estimate","21,934","5,582","945","2,927","2,651","2,192","3,357","4,280"
"Athens city, Alabama","","","","","","","",""
"    Estimate","27,355","6,278","2,241","3,364","3,044","3,875","3,431","5,122"
"Auburn city, Alabama","","","","","","","",""
"    Estimate","66,254","12,851","19,959","8,977","9,051","6,152","4,000","5,264"
"Bessemer city, Alabama","","","","","","","",""
"    Estimate","26,478","5,352","3,015","2,686","3,250","2,722","3,603","5,850"
"Birmingham city, Alabama","","","","","","","",""
"    Estimate","210,080","40,011","20,792","39,929","24,988","22,912","28,927","32,521"
"Center Point city, Alabama","","","","","","","",""
"    Estimate","20,095","6,684","1,378","3,646","2,530","1,474","1,953","2,430"
"Daphne city, Alabama","","","","","","","",""
"    Estimate","26,859","5,501","2,270","2,267","3,106","4,123","3,493","6,099"
"Decatur city, Alabama","","","","","","","",""
"    Estimate","54,331","11,771","5,452","4,421","7,629","9,619","6,561","8,878"
"Dothan city, Alabama","","","","","","","",""
"    Estimate","68,522","14,925","5,039","8,843","9,084","8,337","9,130","13,164"
"Enterprise city, Alabama","","","","","","","",""
"    Estimate","28,095","7,344","2,153","4,288","4,299","2,309","2,622","5,080"
"Fairhope city, Alabama","","","","","","","",""
"    Estimate","19,780","4,210","1,686","3,253","2,002","1,492","1,997","5,140"
"Florence city, Alabama","","","","","","","",""
"    Estimate","40,797","7,372","5,201","5,784","4,792","5,177","5,226","7,245"
"Gadsden city, Alabama","","","","","","","",""
"    Estimate","35,000","7,389","2,469","4,745","4,990","4,316","4,472","6,619"
"Helena city, Alabama","","","","","","","",""
"    Estimate","21,773","6,439","660","2,823","3,416","3,268","1,813","3,354"
"Homewood city, Alabama","","","","","","","",""
"    Estimate","25,373","6,924","4,235","3,298","4,117","2,464","1,899","2,436"
"Hoover city, Alabama","","","","","","","",""
"    Estimate","85,772","21,244","6,066","12,155","12,631","11,582","7,993","14,101"
"Huntsville city, Alabama","","","","","","","",""
"    Estimate","201,594","40,093","24,227","33,104","21,938","22,811","25,492","33,929"
"Madison city, Alabama","","","","","","","",""
"    Estimate","53,217","13,749","2,825","4,923","6,769","9,825","8,881","6,245"
"Mobile city, Alabama","","","","","","","",""
"    Estimate","188,710","40,951","20,196","26,817","22,488","21,485","25,243","31,530"
"Montgomery city, Alabama","","","","","","","",""
"    Estimate","198,525","48,341","19,336","29,697","25,721","22,110","23,172","30,148"
"Mountain Brook city, Alabama","","","","","","","",""
"    Estimate","21,350","7,766","578","2,536","3,894","2,399","1,556","2,621"
"Northport city, Alabama","","","","","","","",""
"    Estimate","26,118","6,074","2,609","4,658","3,287","2,084","2,986","4,420"
"Opelika city, Alabama","","","","","","","",""
"    Estimate","30,908","4,241","3,897","4,681","3,395","3,723","4,781","6,190"
"Oxford city, Alabama","","","","","","","",""
"    Estimate","24,120","6,044","1,885","2,781","4,004","3,023","2,448","3,935"
"Pelham city, Alabama","","","","","","","",""
"    Estimate","26,031","6,463","1,099","2,728","4,567","2,215","4,195","4,764"
"Phenix City city, Alabama","","","","","","","",""
"    Estimate","38,882","9,506","2,990","6,532","6,604","3,820","4,487","4,943"
"Prattville city, Alabama","","","","","","","",""
"    Estimate","35,114","7,720","4,101","4,116","4,933","4,413","4,063","5,768"
"Prichard city, Alabama","","","","","","","",""
"    Estimate","21,139","5,846","1,668","3,266","1,844","1,268","2,818","4,429"
"Trussville city, Alabama","","","","","","","",""
"    Estimate","24,453","4,565","2,100","1,197","2,947","5,526","3,752","4,366"
"Tuscaloosa city, Alabama","","","","","","","",""
"    Estimate","101,133","16,067","24,098","14,247","10,433","11,497","11,045","13,746"
"Vestavia Hills city, Alabama","","","","","","","",""
"    Estimate","34,563","9,191","1,966","3,110","5,177","5,891","3,350","5,878"
"Anchorage municipality, Alaska","","","","","","","",""
"    Estimate","288,000","69,197","28,342","49,731","37,828","33,884","36,202","32,816"
"Fairbanks city, Alaska","","","","","","","",""
"    Estimate","30,914","7,280","5,714","5,303","3,404","2,444","2,611","4,158"
"Juneau city and borough, Alaska","","","","","","","",""
"    Estimate","31,974","6,722","1,697","5,987","4,064","4,172","4,670","4,662"
"Anthem CDP, Arizona","","","","","","","",""
"    Estimate","20,072","5,143","1,038","1,920","2,943","2,223","2,433","4,372"
"Apache Junction city, Arizona","","","","","","","",""
"    Estimate","42,591","5,200","2,389","6,018","3,411","4,661","5,846","15,066"
"Avondale city, Arizona","","","","","","","",""
"    Estimate","87,917","25,902","9,723","17,028","9,932","10,016","8,175","7,141"
"Buckeye city, Arizona","","","","","","","",""
"    Estimate","79,624","21,852","5,833","12,449","12,860","9,258","8,289","9,083"
"Bullhead City city, Arizona","","","","","","","",""
"    Estimate","40,887","8,350","2,078","5,019","3,938","3,687","7,284","10,531"
"Casa Grande city, Arizona","","","","","","","",""
"    Estimate","58,634","14,818","6,539","8,371","5,931","5,590","5,184","12,201"
"Casas Adobes CDP, Arizona","","","","","","","",""
"    Estimate","70,840","13,527","7,239","8,754","9,198","8,300","8,227","15,595"
"Catalina Foothills CDP, Arizona","","","","","","","",""
"    Estimate","52,110","6,988","3,781","3,832","4,558","5,028","9,059","18,864"
"Chandler city, Arizona","","","","","","","",""
"    Estimate","261,149","64,359","20,413","36,051","38,448","36,608","31,663","33,607"
"Drexel Heights CDP, Arizona","","","","","","","",""
"    Estimate","27,451","6,959","3,243","2,759","3,218","3,531","3,201","4,540"
"El Mirage city, Arizona","","","","","","","",""
"    Estimate","35,758","10,069","3,609","6,100","5,164","3,742","3,041","4,033"
"Flagstaff city, Arizona","","","","","","","",""
"    Estimate","75,044","12,085","24,471","10,560","7,435","6,873","7,093","6,527"
"Florence town, Arizona","","","","","","","",""
"    Estimate","27,416","2,168","1,657","6,250","6,345","2,329","3,559","5,108"
"Fortuna Foothills CDP, Arizona","","","","","","","",""
"    Estimate","27,136","2,413","906","2,124","1,715","2,483","3,026","14,469"
"Fountain Hills town, Arizona","","","","","","","",""
"    Estimate","25,196","2,267","1,114","988","2,386","3,635","4,755","10,051"
