"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"Alabaster city, Alabama","","",""
"    Estimate","33,204","476","657"
"Albertville city, Alabama","","",""
"    Estimate","24,007","716","2,734"
"Anniston city, Alabama","","",""
"    Estimate","21,162","3,767","2,235"
"Athens city, Alabama","","",""
"    Estimate","26,761","3,082","1,723"
"Auburn city, Alabama","","",""
"    Estimate","60,694","8,811","7,037"
"Bessemer city, Alabama","","",""
"    Estimate","26,012","4,224","3,940"
"Birmingham city, Alabama","","",""
"    Estimate","202,098","27,233","23,669"
"Center Point city, Alabama","","",""
"    Estimate","19,953","888","2,141"
"Daphne city, Alabama","","",""
"    Estimate","26,476","198","491"
"Decatur city, Alabama","","",""
"    Estimate","53,261","2,775","5,010"
"Dothan city, Alabama","","",""
"    Estimate","67,364","5,360","8,213"
"Enterprise city, Alabama","","",""
"    Estimate","27,890","1,714","2,656"
"Fairhope city, Alabama","","",""
"    Estimate","19,093","1,495","670"
"Florence city, Alabama","","",""
"    Estimate","39,266","3,939","4,704"
"Gadsden city, Alabama","","",""
"    Estimate","33,953","2,884","6,576"
"Helena city, Alabama","","",""
"    Estimate","21,773","639","0"
"Homewood city, Alabama","","",""
"    Estimate","23,311","771","1,629"
"Hoover city, Alabama","","",""
"    Estimate","85,358","1,905","2,573"
"Huntsville city, Alabama","","",""
"    Estimate","192,706","13,189","20,610"
"Madison city, Alabama","","",""
"    Estimate","52,810","1,273","277"
"Mobile city, Alabama","","",""
"    Estimate","184,159","15,748","16,615"
"Montgomery city, Alabama","","",""
"    Estimate","190,501","12,724","17,899"
"Mountain Brook city, Alabama","","",""
"    Estimate","","",""
"Northport city, Alabama","","",""
"    Estimate","25,504","1,209","943"
"Opelika city, Alabama","","",""
"    Estimate","30,601","227","1,953"
"Oxford city, Alabama","","",""
"    Estimate","23,977","2,316","779"
"Pelham city, Alabama","","",""
"    Estimate","26,026","268","365"
"Phenix City city, Alabama","","",""
"    Estimate","37,876","4,107","3,503"
"Prattville city, Alabama","","",""
"    Estimate","34,657","2,065","3,391"
"Prichard city, Alabama","","",""
"    Estimate","20,357","3,129","3,100"
"Trussville city, Alabama","","",""
"    Estimate","","",""
"Tuscaloosa city, Alabama","","",""
"    Estimate","91,819","11,042","7,455"
"Vestavia Hills city, Alabama","","",""
"    Estimate","34,442","301","635"
"Anchorage municipality, Alaska","","",""
"    Estimate","281,214","10,919","17,446"
"Fairbanks city, Alaska","","",""
"    Estimate","28,375","1,541","1,115"
"Juneau city and borough, Alaska","","",""
"    Estimate","31,502","785","583"
"Anthem CDP, Arizona","","",""
"    Estimate","20,072","438","340"
"Apache Junction city, Arizona","","",""
"    Estimate","42,422","2,146","2,503"
"Avondale city, Arizona","","",""
"    Estimate","87,283","3,721","5,109"
"Buckeye city, Arizona","","",""
"    Estimate","73,635","2,389","2,408"
"Bullhead City city, Arizona","","",""
"    Estimate","40,737","3,599","4,935"
"Casa Grande city, Arizona","","",""
"    Estimate","58,571","1,874","5,829"
"Casas Adobes CDP, Arizona","","",""
"    Estimate","69,980","2,389","1,958"
"Catalina Foothills CDP, Arizona","","",""
"    Estimate","51,693","1,190","726"
"Chandler city, Arizona","","",""
"    Estimate","260,098","7,747","9,780"
"Drexel Heights CDP, Arizona","","",""
"    Estimate","26,685","1,772","795"
"El Mirage city, Arizona","","",""
"    Estimate","35,440","2,461","1,341"
"Flagstaff city, Arizona","","",""
"    Estimate","61,201","6,311","3,851"
"Florence town, Arizona","","",""
"    Estimate","","",""
"Fortuna Foothills CDP, Arizona","","",""
"    Estimate","27,136","1,917","1,212"
"Fountain Hills town, Arizona","","",""
"    Estimate","25,196","813","825"
"Gilbert town, Arizona","","",""
"    Estimate","253,031","6,280","5,271"
"Glendale city, Arizona","","",""
"    Estimate","249,169","20,492","26,529"
"Goodyear city, Arizona","","",""
"    Estimate","81,883","3,263","3,506"
