"Label (Grouping)","Total:","Total:!!With private health insurance","Total:!!No private health insurance"
"Alabaster city, Alabama","","",""
"    Estimate","32,804","24,927","7,877"
"Albertville city, Alabama","","",""
"    Estimate","24,007","13,217","10,790"
"Anniston city, Alabama","","",""
"    Estimate","21,122","11,197","9,925"
"Athens city, Alabama","","",""
"    Estimate","26,555","21,586","4,969"
"Auburn city, Alabama","","",""
"    Estimate","66,124","58,572","7,552"
"Bessemer city, Alabama","","",""
"    Estimate","26,012","11,277","14,735"
"Birmingham city, Alabama","","",""
"    Estimate","207,105","109,917","97,188"
"Center Point city, Alabama","","",""
"    Estimate","19,962","10,712","9,250"
"Daphne city, Alabama","","",""
"    Estimate","26,669","21,684","4,985"
"Decatur city, Alabama","","",""
"    Estimate","53,567","33,834","19,733"
"Dothan city, Alabama","","",""
"    Estimate","67,312","39,518","27,794"
"Enterprise city, Alabama","","",""
"    Estimate","26,816","20,433","6,383"
"Fairhope city, Alabama","","",""
"    Estimate","19,627","15,331","4,296"
"Florence city, Alabama","","",""
"    Estimate","40,104","24,979","15,125"
"Gadsden city, Alabama","","",""
"    Estimate","34,553","18,036","16,517"
"Helena city, Alabama","","",""
"    Estimate","21,773","17,454","4,319"
"Homewood city, Alabama","","",""
"    Estimate","25,276","23,033","2,243"
"Hoover city, Alabama","","",""
"    Estimate","85,182","69,742","15,440"
"Huntsville city, Alabama","","",""
"    Estimate","196,839","140,341","56,498"
"Madison city, Alabama","","",""
"    Estimate","52,878","46,594","6,284"
"Mobile city, Alabama","","",""
"    Estimate","185,549","113,531","72,018"
"Montgomery city, Alabama","","",""
"    Estimate","193,227","127,689","65,538"
"Mountain Brook city, Alabama","","",""
"    Estimate","21,348","21,006","342"
"Northport city, Alabama","","",""
"    Estimate","25,504","19,003","6,501"
"Opelika city, Alabama","","",""
"    Estimate","30,601","19,914","10,687"
"Oxford city, Alabama","","",""
"    Estimate","23,791","16,658","7,133"
"Pelham city, Alabama","","",""
"    Estimate","26,026","21,803","4,223"
"Phenix City city, Alabama","","",""
"    Estimate","37,184","24,675","12,509"
"Prattville city, Alabama","","",""
"    Estimate","33,806","25,232","8,574"
"Prichard city, Alabama","","",""
"    Estimate","20,943","8,967","11,976"
"Trussville city, Alabama","","",""
"    Estimate","24,330","20,682","3,648"
"Tuscaloosa city, Alabama","","",""
"    Estimate","100,264","73,742","26,522"
"Vestavia Hills city, Alabama","","",""
"    Estimate","34,442","30,965","3,477"
"Anchorage municipality, Alaska","","",""
"    Estimate","276,960","194,162","82,798"
"Fairbanks city, Alaska","","",""
"    Estimate","25,812","19,411","6,401"
"Juneau city and borough, Alaska","","",""
"    Estimate","31,215","21,028","10,187"
"Anthem CDP, Arizona","","",""
"    Estimate","20,005","17,307","2,698"
"Apache Junction city, Arizona","","",""
"    Estimate","42,473","28,382","14,091"
"Avondale city, Arizona","","",""
"    Estimate","87,338","54,168","33,170"
"Buckeye city, Arizona","","",""
"    Estimate","73,251","53,914","19,337"
"Bullhead City city, Arizona","","",""
"    Estimate","40,737","20,989","19,748"
"Casa Grande city, Arizona","","",""
"    Estimate","58,449","33,360","25,089"
"Casas Adobes CDP, Arizona","","",""
"    Estimate","69,943","51,325","18,618"
"Catalina Foothills CDP, Arizona","","",""
"    Estimate","51,314","40,964","10,350"
"Chandler city, Arizona","","",""
"    Estimate","260,894","199,994","60,900"
"Drexel Heights CDP, Arizona","","",""
"    Estimate","27,436","14,833","12,603"
"El Mirage city, Arizona","","",""
"    Estimate","35,727","21,490","14,237"
"Flagstaff city, Arizona","","",""
"    Estimate","74,312","60,601","13,711"
"Florence town, Arizona","","",""
"    Estimate","11,128","6,667","4,461"
"Fortuna Foothills CDP, Arizona","","",""
"    Estimate","26,846","19,688","7,158"
"Fountain Hills town, Arizona","","",""
"    Estimate","25,196","17,143","8,053"
"Gilbert town, Arizona","","",""
"    Estimate","254,019","216,022","37,997"
"Glendale city, Arizona","","",""
"    Estimate","250,378","135,110","115,268"
"Goodyear city, Arizona","","",""
"    Estimate","81,582","62,867","18,715"
"Green Valley CDP, Arizona","","",""
"    Estimate","20,287","13,016","7,271"
"Kingman city, Arizona","","",""
"    Estimate","29,017","18,755","10,262"
"Lake Havasu City city, Arizona","","",""
"    Estimate","55,723","36,900","18,823"
"Marana town, Arizona","","",""
"    Estimate","48,180","30,810","17,370"
"Maricopa city, Arizona","","",""
"    Estimate","52,124","38,826","13,298"
"Mesa city, Arizona","","",""
"    Estimate","515,886","327,770","188,116"
"Oro Valley town, Arizona","","",""
"    Estimate","45,999","37,418","8,581"
"Peoria city, Arizona","","",""
"    Estimate","174,933","127,481","47,452"
"Phoenix city, Arizona","","",""
"    Estimate","1,670,185","955,810","714,375"
"Prescott city, Arizona","","",""
"    Estimate","43,947","32,121","11,826"
"Prescott Valley town, Arizona","","",""
