"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"Alabaster city, Alabama","","",""
"    Estimate","32,804","8,488","24,316"
"Albertville city, Alabama","","",""
"    Estimate","24,007","9,264","14,743"
"Anniston city, Alabama","","",""
"    Estimate","21,122","10,629","10,493"
"Athens city, Alabama","","",""
"    Estimate","26,555","9,347","17,208"
"Auburn city, Alabama","","",""
"    Estimate","66,124","9,558","56,566"
"Bessemer city, Alabama","","",""
"    Estimate","26,012","14,180","11,832"
"Birmingham city, Alabama","","",""
"    Estimate","207,105","90,392","116,713"
"Center Point city, Alabama","","",""
"    Estimate","19,962","8,753","11,209"
"Daphne city, Alabama","","",""
"    Estimate","26,669","8,540","18,129"
"Decatur city, Alabama","","",""
"    Estimate","53,567","20,333","33,234"
"Dothan city, Alabama","","",""
"    Estimate","67,312","28,455","38,857"
"Enterprise city, Alabama","","",""
"    Estimate","26,816","9,178","17,638"
"Fairhope city, Alabama","","",""
"    Estimate","19,627","6,410","13,217"
"Florence city, Alabama","","",""
"    Estimate","40,104","15,505","24,599"
"Gadsden city, Alabama","","",""
"    Estimate","34,553","14,070","20,483"
"Helena city, Alabama","","",""
"    Estimate","21,773","6,086","15,687"
"Homewood city, Alabama","","",""
"    Estimate","25,276","3,313","21,963"
"Hoover city, Alabama","","",""
"    Estimate","85,182","21,093","64,089"
"Huntsville city, Alabama","","",""
"    Estimate","196,839","68,651","128,188"
"Madison city, Alabama","","",""
"    Estimate","52,878","9,950","42,928"
"Mobile city, Alabama","","",""
"    Estimate","185,549","72,607","112,942"
"Montgomery city, Alabama","","",""
"    Estimate","193,227","72,830","120,397"
"Mountain Brook city, Alabama","","",""
"    Estimate","21,348","2,467","18,881"
"Northport city, Alabama","","",""
"    Estimate","25,504","7,575","17,929"
"Opelika city, Alabama","","",""
"    Estimate","30,601","12,623","17,978"
"Oxford city, Alabama","","",""
"    Estimate","23,791","8,104","15,687"
"Pelham city, Alabama","","",""
"    Estimate","26,026","7,248","18,778"
"Phenix City city, Alabama","","",""
"    Estimate","37,184","13,429","23,755"
"Prattville city, Alabama","","",""
"    Estimate","33,806","10,997","22,809"
"Prichard city, Alabama","","",""
"    Estimate","20,943","11,290","9,653"
"Trussville city, Alabama","","",""
"    Estimate","24,330","5,625","18,705"
"Tuscaloosa city, Alabama","","",""
"    Estimate","100,264","28,687","71,577"
"Vestavia Hills city, Alabama","","",""
"    Estimate","34,442","7,173","27,269"
"Anchorage municipality, Alaska","","",""
"    Estimate","276,960","90,988","185,972"
"Fairbanks city, Alaska","","",""
"    Estimate","25,812","7,835","17,977"
"Juneau city and borough, Alaska","","",""
"    Estimate","31,215","10,516","20,699"
"Anthem CDP, Arizona","","",""
"    Estimate","20,005","4,613","15,392"
"Apache Junction city, Arizona","","",""
"    Estimate","42,473","21,059","21,414"
"Avondale city, Arizona","","",""
"    Estimate","87,338","26,051","61,287"
"Buckeye city, Arizona","","",""
"    Estimate","73,251","18,759","54,492"
"Bullhead City city, Arizona","","",""
"    Estimate","40,737","25,903","14,834"
"Casa Grande city, Arizona","","",""
"    Estimate","58,449","27,562","30,887"
"Casas Adobes CDP, Arizona","","",""
"    Estimate","69,943","25,933","44,010"
"Catalina Foothills CDP, Arizona","","",""
"    Estimate","51,314","22,668","28,646"
"Chandler city, Arizona","","",""
"    Estimate","260,894","62,028","198,866"
"Drexel Heights CDP, Arizona","","",""
"    Estimate","27,436","10,792","16,644"
"El Mirage city, Arizona","","",""
"    Estimate","35,727","13,753","21,974"
"Flagstaff city, Arizona","","",""
"    Estimate","74,312","15,211","59,101"
"Florence town, Arizona","","",""
"    Estimate","11,128","7,228","3,900"
"Fortuna Foothills CDP, Arizona","","",""
"    Estimate","26,846","16,706","10,140"
"Fountain Hills town, Arizona","","",""
"    Estimate","25,196","12,568","12,628"
"Gilbert town, Arizona","","",""
"    Estimate","254,019","47,681","206,338"
"Glendale city, Arizona","","",""
"    Estimate","250,378","102,248","148,130"
"Goodyear city, Arizona","","",""
"    Estimate","81,582","22,932","58,650"
"Green Valley CDP, Arizona","","",""
"    Estimate","20,287","16,875","3,412"
"Kingman city, Arizona","","",""
