"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"Alabaster city, Alabama","","","","",""
"    Estimate","21,909","934","5,496","4,815","3,035"
"Albertville city, Alabama","","","","",""
"    Estimate","14,854","2,140","4,693","2,000","958"
"Anniston city, Alabama","","","","",""
"    Estimate","15,407","1,904","4,987","2,498","1,021"
"Athens city, Alabama","","","","",""
"    Estimate","18,836","2,090","5,735","4,313","1,655"
"Auburn city, Alabama","","","","",""
"    Estimate","33,444","582","3,490","11,436","10,860"
"Bessemer city, Alabama","","","","",""
"    Estimate","18,111","1,953","7,440","1,653","893"
"Birmingham city, Alabama","","","","",""
"    Estimate","149,277","13,748","43,461","26,271","17,825"
"Center Point city, Alabama","","","","",""
"    Estimate","12,033","902","5,450","925","591"
"Daphne city, Alabama","","","","",""
"    Estimate","19,088","323","2,981","4,140","3,053"
"Decatur city, Alabama","","","","",""
"    Estimate","37,108","2,754","12,858","6,170","3,172"
"Dothan city, Alabama","","","","",""
"    Estimate","48,558","4,918","13,301","8,068","4,586"
"Enterprise city, Alabama","","","","",""
"    Estimate","18,598","1,229","2,487","3,677","2,012"
"Fairhope city, Alabama","","","","",""
"    Estimate","13,884","675","1,870","5,629","2,169"
"Florence city, Alabama","","","","",""
"    Estimate","28,224","3,187","8,425","4,281","3,335"
"Gadsden city, Alabama","","","","",""
"    Estimate","25,142","4,088","9,604","1,716","1,077"
"Helena city, Alabama","","","","",""
"    Estimate","14,674","224","3,560","3,905","1,531"
"Homewood city, Alabama","","","","",""
"    Estimate","14,214","500","1,899","4,391","4,479"
"Hoover city, Alabama","","","","",""
"    Estimate","58,462","1,132","7,519","18,619","14,626"
"Huntsville city, Alabama","","","","",""
"    Estimate","137,274","8,541","22,840","36,462","24,883"
"Madison city, Alabama","","","","",""
"    Estimate","36,643","207","3,060","14,481","9,125"
"Mobile city, Alabama","","","","",""
"    Estimate","127,563","8,607","39,850","25,019","15,280"
"Montgomery city, Alabama","","","","",""
"    Estimate","130,848","9,721","31,847","26,054","19,252"
"Mountain Brook city, Alabama","","","","",""
"    Estimate","13,006","0","441","7,069","4,703"
"Northport city, Alabama","","","","",""
"    Estimate","17,435","1,085","4,060","3,903","2,930"
"Opelika city, Alabama","","","","",""
"    Estimate","22,770","1,449","5,534","4,181","3,472"
"Oxford city, Alabama","","","","",""
"    Estimate","16,191","2,891","3,464","1,681","2,230"
"Pelham city, Alabama","","","","",""
"    Estimate","18,469","581","3,572","5,606","2,661"
"Phenix City city, Alabama","","","","",""
"    Estimate","26,386","1,922","6,312","3,801","3,256"
"Prattville city, Alabama","","","","",""
"    Estimate","23,293","2,043","5,939","5,747","2,768"
"Prichard city, Alabama","","","","",""
"    Estimate","13,625","2,137","6,061","455","710"
"Trussville city, Alabama","","","","",""
"    Estimate","17,788","38","3,427","6,016","3,718"
"Tuscaloosa city, Alabama","","","","",""
"    Estimate","60,968","5,147","17,068","12,677","9,442"
"Vestavia Hills city, Alabama","","","","",""
"    Estimate","23,406","403","2,562","10,066","5,662"
"Anchorage municipality, Alaska","","","","",""
"    Estimate","190,461","6,158","48,046","42,352","26,860"
"Fairbanks city, Alaska","","","","",""
"    Estimate","17,920","829","3,975","2,914","2,977"
"Juneau city and borough, Alaska","","","","",""
"    Estimate","23,555","1,102","5,201","5,691","3,101"
"Anthem CDP, Arizona","","","","",""
"    Estimate","13,891","64","2,100","4,650","2,380"
"Apache Junction city, Arizona","","","","",""
"    Estimate","35,002","3,479","12,129","3,079","2,299"
"Avondale city, Arizona","","","","",""
"    Estimate","52,292","5,113","15,131","7,948","2,798"
"Buckeye city, Arizona","","","","",""
"    Estimate","51,939","2,555","16,861","8,492","3,627"
"Bullhead City city, Arizona","","","","",""
"    Estimate","30,459","4,575","10,451","2,037","764"
"Casa Grande city, Arizona","","","","",""
"    Estimate","37,277","4,321","12,813","3,186","1,625"
"Casas Adobes CDP, Arizona","","","","",""
"    Estimate","50,074","1,823","11,981","10,529","6,917"
"Catalina Foothills CDP, Arizona","","","","",""
