"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Auburn city, Alabama","","","","","","",""
"    Estimate","2.32","582","3,490","11,436","10,860","25,681","23,670"
"    Percent","(X)","1.7%","10.4%","34.2%","32.5%","98.2%","90.5%"
"Birmingham city, Alabama","","","","","","",""
"    Estimate","2.15","13,748","43,461","26,271","17,825","80,440","71,572"
"    Percent","(X)","9.2%","29.1%","17.6%","11.9%","86.2%","76.7%"
"Dothan city, Alabama","","","","","","",""
"    Estimate","2.49","4,918","13,301","8,068","4,586","24,714","22,895"
"    Percent","(X)","10.1%","27.4%","16.6%","9.4%","91.2%","84.5%"
"Hoover city, Alabama","","","","","","",""
"    Estimate","2.63","1,132","7,519","18,619","14,626","31,651","30,938"
"    Percent","(X)","1.9%","12.9%","31.8%","25.0%","97.5%","95.3%"
"Huntsville city, Alabama","","","","","","",""
"    Estimate","2.17","8,541","22,840","36,462","24,883","83,729","79,143"
"    Percent","(X)","6.2%","16.6%","26.6%","18.1%","94.2%","89.0%"
"Mobile city, Alabama","","","","","","",""
"    Estimate","2.37","8,607","39,850","25,019","15,280","69,550","59,615"
"    Percent","(X)","6.7%","31.2%","19.6%","12.0%","89.6%","76.8%"
"Montgomery city, Alabama","","","","","","",""
"    Estimate","2.45","9,721","31,847","26,054","19,252","70,877","65,755"
"    Percent","(X)","7.4%","24.3%","19.9%","14.7%","90.6%","84.1%"
"Tuscaloosa city, Alabama","","","","","","",""
"    Estimate","2.50","5,147","17,068","12,677","9,442","32,602","30,758"
"    Percent","(X)","8.4%","28.0%","20.8%","15.5%","88.6%","83.6%"
"Anchorage municipality, Alaska","","","","","","",""
"    Estimate","2.67","6,158","48,046","42,352","26,860","102,657","97,601"
"    Percent","(X)","3.2%","25.2%","22.2%","14.1%","97.6%","92.8%"
"Avondale city, Arizona","","","","","","",""
"    Estimate","3.46","5,113","15,131","7,948","2,798","24,317","22,672"
"    Percent","(X)","9.8%","28.9%","15.2%","5.4%","96.0%","89.5%"
"Buckeye city, Arizona","","","","","","",""
"    Estimate","3.40","2,555","16,861","8,492","3,627","21,205","20,624"
"    Percent","(X)","4.9%","32.5%","16.3%","7.0%","97.8%","95.1%"
"Casas Adobes CDP, Arizona","","","","","","",""
"    Estimate","2.38","1,823","11,981","10,529","6,917","27,951","27,218"
"    Percent","(X)","3.6%","23.9%","21.0%","13.8%","95.3%","92.8%"
"Chandler city, Arizona","","","","","","",""
"    Estimate","2.77","7,400","30,972","51,654","28,412","92,449","90,270"
"    Percent","(X)","4.2%","17.6%","29.3%","16.1%","98.3%","96.0%"
"Flagstaff city, Arizona","","","","","","",""
"    Estimate","2.38","975","5,893","10,258","9,482","24,733","22,323"
"    Percent","(X)","2.5%","15.3%","26.7%","24.6%","96.6%","87.2%"
"Gilbert town, Arizona","","","","","","",""
"    Estimate","3.12","2,915","25,202","48,158","25,120","80,222","78,891"
"    Percent","(X)","1.9%","16.1%","30.8%","16.1%","98.8%","97.1%"
"Glendale city, Arizona","","","","","","",""
"    Estimate","3.06","15,700","47,206","22,027","11,634","75,840","65,987"
"    Percent","(X)","9.6%","28.7%","13.4%","7.1%","93.6%","81.4%"
