"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Auburn city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.32","1,584","6","0","68","126","33,444","332","582","3,490","3,984","2,760","11,436","10,860","25,681","23,670"
"    Percent","(X)","1,584","(X)","(X)","(X)","(X)","33,444","1.0%","1.7%","10.4%","11.9%","8.3%","34.2%","32.5%","98.2%","90.5%"
"Birmingham city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.15","2,114","31","0","68","13","149,277","3,604","13,748","43,461","29,575","14,793","26,271","17,825","80,440","71,572"
"    Percent","(X)","2,114","(X)","(X)","(X)","(X)","149,277","2.4%","9.2%","29.1%","19.8%","9.9%","17.6%","11.9%","86.2%","76.7%"
"Dothan city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.49","809","48","10","99","22","48,558","2,183","4,918","13,301","10,527","4,975","8,068","4,586","24,714","22,895"
"    Percent","(X)","809","(X)","(X)","(X)","(X)","48,558","4.5%","10.1%","27.4%","21.7%","10.2%","16.6%","9.4%","91.2%","84.5%"
"Hoover city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.63","1,231","17","0","115","27","58,462","1,233","1,132","7,519","11,903","3,430","18,619","14,626","31,651","30,938"
