City,Grad+/Pro_Rate,HS_Grad,No_HS_Diploma,Median_Earnings,Unemployment_Rate,Population,Crime_Rate,Vacancy_Rate,Enforcement_Rate,Poverty_Rate,Pub_Health_Rate,Priv_Health_Rate
athens,0.31684009343809727,5735.0,2090.0,38209.0,0.014845397048489108,1913.0,0.00575013068478829,0.14088255494505494,0.002086982446986919,0.1795523336198199,0.35198644323102996,0.812878930521559
auburn,0.6666666666666666,3490.0,582.0,24009.0,0.03619120775230442,14201.0,0.02056193225829167,0.08641285365001747,0.002225288174818639,0.2611131248558342,0.14454660940052025,0.8857903333131691
birmingham,0.29539714758469154,43461.0,13748.0,30014.0,0.07302759424795958,21479.0,0.00637832301317566,0.17740101039490042,0.004879584448292146,0.25186790566952666,0.436454938316313,0.5307307887303542
decatur,0.2517516438503827,12858.0,2754.0,32065.0,0.05661549707602339,1813.0,0.03474903474903475,0.11254292062209655,0.0027924695787254505,0.1461669889788025,0.3795807120055258,0.6316202139376855
florence,0.2698412698412698,8425.0,3187.0,22546.0,0.051155292853304675,26385.0,0.004472238014023119,0.15032097839838807,0.0032558024813161336,0.22011409361788825,0.3866197885497706,0.6228555755036904
helena,0.37045113806733,3560.0,224.0,46427.0,0.01797020484171322,32806.0,0.04864963726147656,0.02303210947026148,0.001509813789632612,0.029348275386947138,0.2795205070500161,0.8016350525880678
homewood,0.6240326438722387,1899.0,500.0,45594.0,0.011322132943754566,18831.0,0.04471350432796984,0.21307331166486096,0.004601226993865031,0.10295568615675003,0.1310729545814211,0.911259692989397
hoover,0.5686599842632821,7519.0,1132.0,51175.0,0.03691871583162726,85670.0,0.023788957628107857,0.08159569953317301,0.0026263569510913973,0.05246139787717613,0.24762273719799957,0.8187410485783382
huntsville,0.44687996270233254,22840.0,8541.0,31733.0,0.03980313867425004,1513.0,0.0026437541308658294,0.07313412613213545,0.0032486902464091446,0.17539152906500058,0.34876726664939367,0.7129735469088951
madison,0.6442158120241247,3060.0,207.0,51219.0,0.017934561084966837,685.0,0.01167883211678832,0.05396411386428025,0.0021605839416058395,0.029350501798901724,0.1881689927758236,0.8811604069745452
montgomery,0.34624908290535583,31847.0,9721.0,30693.0,0.05506294244222913,19927.0,0.015155316906709489,0.16036966275250628,0.0028533056280566605,0.1607498123369431,0.3769141993613729,0.6608237979164403
oxford,0.24155394972515595,3464.0,2891.0,31212.0,0.034379526798647995,2337.0,0.005562687205819427,0.05888594164456233,0.0036912592873030144,0.12908203695207907,0.3406330124837123,0.7001807406161994
pelham,0.4476149223022362,3572.0,581.0,50577.0,0.022133626615342315,3474.0,0.049798503166378814,0.037532784661300535,0.003536803561769234,0.024321832014139705,0.27849074002920154,0.83773918389303
anchorage,0.3633919805104457,48046.0,6158.0,41868.0,0.054224197217372906,287731.0,0.055381589053664707,0.11799919511704339,0.001994918865190056,0.10086624421259255,0.32852397458116694,0.7010470826112074
fairbanks,0.3287388392857143,3975.0,829.0,31646.0,0.046321767681249446,31493.0,0.05153526180421046,0.19192198630610693,0.0013971358714634998,0.09360352422907489,0.3035409886874322,0.7520145668681234
avondale,0.20549988525969556,15131.0,5113.0,31820.0,0.06923447885433921,87117.0,0.03859177887209155,0.0936438101369961,0.002192453826463262,0.1011651753491516,0.2982779546131123,0.6202111337562115
buckeye,0.23333140799784363,16861.0,2555.0,37488.0,0.0424324249855344,77904.0,0.01762425549394126,0.09439712758851035,0.0016558841651263094,0.06514565084538602,0.25609206700249826,0.7360172557371231
chandler,0.45394807713023805,30972.0,7400.0,46635.0,0.0321668012215241,259881.0,0.023064402553476398,0.07681206373516332,0.0018623908635106068,0.06738613907065798,0.2377517305879016,0.7665718644353645
el mirage,0.13940217391304346,7222.0,2819.0,31288.0,0.04747151184162159,36185.0,0.029597899682188754,0.06342710997442455,0.001879231725853254,0.10727990970654627,0.3849469588826378,0.6015058639124472
flagstaff,0.5128871336520474,5893.0,975.0,22520.0,0.08823665250323295,75013.0,0.03694026368762748,0.13812136102042877,0.002119632597016517,0.16604303851244262,0.20469103240391862,0.8154941328453009
gilbert,0.4684126081092311,25202.0,2915.0,47767.0,0.0335459769682089,253619.0,0.013035300982970519,0.037385946202156656,0.001612655203277357,0.04565053293865179,0.18770643140867416,0.8504167011129089
glendale,0.2049925094089132,47206.0,15700.0,31388.0,0.057217603441081115,253951.0,0.03522726825253691,0.07022755425058494,0.0021657721371445672,0.18871127628236256,0.4083745376989991,0.539624088378372
goodyear,0.29376807505113917,11815.0,3688.0,35910.0,0.06414192249622547,85305.0,0.02598909794267628,0.11129985730787524,0.0018052869116698903,0.08266673180025158,0.28109141722438774,0.7705989066215587
kingman,0.22645464973695661,8229.0,1412.0,32223.0,0.017855693531369208,30600.0,0.04803921568627451,0.09150111827391133,0.00196078431372549,0.0862233426449547,0.5303098183823276,0.6463452458903401
marana,0.44790715484992194,5682.0,458.0,41004.0,0.061126509602058995,48816.0,0.02394706653556211,0.06190016757223379,0.0025606358570960342,0.05261200198379898,0.3856994603569946,0.6394769613947696
maricopa,0.218944580621531,10684.0,2035.0,37321.0,0.02696160577961494,50881.0,0.013580707926337926,0.10748926697408173,0.0017884868615003636,0.06226086956521739,0.26553986647225847,0.7448775995702556
mesa,0.2917139482306779,80510.0,20255.0,36190.0,0.04864836317270622,518160.0,0.02250849158561062,0.13032303044387636,0.0023197467963563378,0.11558815915730632,0.35786006986039554,0.6353535471014914
oro valley,0.5285684969657881,4812.0,670.0,42493.0,0.057648004286096975,45970.0,0.013269523602349358,0.12933433455541324,0.002740917989993474,0.04018402232687947,0.39913911171982,0.8134524663579643
peoria,0.34018982369024797,26973.0,6043.0,42113.0,0.03461260463055795,174571.0,0.021131803105899606,0.10078507410069017,0.0016383018943581695,0.08800805220205994,0.3334933946139379,0.728741861169705
phoenix,0.2855605428487734,265129.0,102302.0,34758.0,0.04394312989186988,1688722.0,0.04025410932053944,0.07942294329039028,0.0023206898471151557,0.15559825838245195,0.34766687522639705,0.5722779213081186
prescott,0.4407984686901832,6873.0,1020.0,30729.0,0.04769475357710652,43781.0,0.02062538544117311,0.14666833146044034,0.0020785272150019413,0.08523050654524758,0.5183971602157144,0.7309031333196805
prescott valley,0.25496964280210804,8503.0,2812.0,24524.0,0.05656605061686253,46700.0,0.012184154175588865,0.12590062692991486,0.001970021413276231,0.10828261675719303,0.44968194070080864,0.6465768194070081
sahuarita,0.387813783660429,4884.0,1172.0,30963.0,0.03277216610549944,30928.0,0.012642265907915158,0.1303766808652802,0.0017783238489394724,0.07029186263771664,0.3537458863005743,0.8210621410595599
scottsdale,0.6059336091487452,25120.0,4054.0,52772.0,0.028829413050067317,260464.0,0.021227501689292955,0.15174460037276613,0.002365010135757725,0.06002245141373746,0.3383017444528267,0.7642849921060204
sierra vista,0.3301197160716178,6098.0,1471.0,33709.0,0.05334126511996827,44310.0,0.024960505529225907,0.11302313491031973,0.001715188445046265,0.0780056193621531,0.4251931631936315,0.7506438773121049
surprise,0.32271536019431957,24046.0,4170.0,39268.0,0.042947628611154025,140962.0,0.015826960457428242,0.11696085127799546,0.0014046338729586697,0.07274206672091131,0.3710331866911545,0.7064095445550193
tempe,0.50260898571213,14015.0,3564.0,32023.0,0.05515987523560122,196499.0,0.04238189507325737,0.10387348637149937,0.0024427605229543153,0.17190645303831237,0.21721751947347412,0.7672599977481397
tucson,0.27323698787757733,82862.0,34823.0,26562.0,0.06291506721352152,548374.0,0.03986330497069518,0.10636998290570261,0.002058813875201961,0.19061408901733884,0.43402747562493615,0.5394352022458732
yuma,0.1655453618756371,15377.0,4639.0,29975.0,0.12831127753099053,98769.0,0.027255515394506373,0.14025469564362278,0.0025919063673824783,0.1957187516558046,0.444914208453606,0.5527035872562801
bella vista,0.3254566412484483,6163.0,493.0,42209.0,0.020067739204064353,28931.0,0.008226469876602952,0.13368910782703886,0.0016936849745947254,0.04373381848715975,0.4302665460366066,0.7977242675203563
benton,0.3274190679473497,7497.0,2011.0,35075.0,0.06827051590483828,37161.0,0.041602755577083504,0.08762169680111266,0.002421893921046258,0.14836689283850232,0.3971705383683805,0.6085819663106903
bentonville,0.5140602423029899,6903.0,1287.0,42079.0,0.02675540765391015,53434.0,0.015982333345809785,0.07953650057937428,0.002152187745630123,0.09846559177690781,0.22608679573232743,0.7537582515116215
cabot,0.27278345881559724,6363.0,550.0,39455.0,0.012263415325724817,26875.0,0.0176,0.10718358038768529,0.0020093023255813953,0.05070196856401648,0.3206101019391431,0.7466084157277535
conway,0.39781099839829154,9283.0,1332.0,27983.0,0.023596865276017058,67336.0,0.03228585006534394,0.04332812329613609,0.002554354282998693,0.21010430143594166,0.35837278731039474,0.6515183498688218
fayetteville,0.48646203943797867,10646.0,2105.0,25986.0,0.07281335977989635,88500.0,0.049310734463276835,0.0774161115998492,0.0019661016949152543,0.21976829739739864,0.25285078570435265,0.7218977425485561
fort smith,0.2576779539151573,15866.0,6676.0,26685.0,0.07061006726977499,88041.0,0.0681614247907225,0.11454003032229666,0.0021808021262820733,0.17930067986240605,0.43286425931452444,0.506232639287436
hot springs,0.28752949718642223,7819.0,2446.0,25801.0,0.04433613247988725,37263.0,0.07844242277862759,0.22474853801169592,0.003676569250999651,0.22050269491434976,0.4682947502251417,0.49528526778619486
jacksonville,0.21682190234264748,5053.0,774.0,31688.0,0.015690567414705345,28273.0,0.06210872563930252,0.15977496483825598,0.003051473540512326,0.2506031142627385,0.5902414832335101,0.5091748369129822
jonesboro,0.29552524040905115,14362.0,2754.0,25515.0,0.07627377977253022,78261.0,0.04499048057142127,0.1208504841718736,0.0022233296277839537,0.19482135688478522,0.4229081731702582,0.6144826247330616
